Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6528,0.6179,8e-06,0.4058,100.0,0,0.0,0.8513,0.0251,13.0725
post,0.7866,0.8294,1.4e-05,0.2402,100.0,0,0.0,0.4619,0.025,20.5512
pre,0.8134,0.8695,-3e-06,0.2946,0.0,0,100.0,0.481,0.0278,20.682
