Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.5642,0.6718,0.8513,1.0751,1.2094,1.2541,1.29
post,1,0.4619,0.4619,0.4619,0.4619,0.4619,0.4619,0.4619
pre,1,0.481,0.481,0.481,0.481,0.481,0.481,0.481
