,Group,Threshold ratio,N above,% above,N total
0,in,0.01,1,100.0,1
1,in,0.05,0,0.0,1
2,in,0.1,0,0.0,1
3,in,0.2,0,0.0,1
4,post,0.01,2,100.0,2
5,post,0.05,0,0.0,2
6,post,0.1,0,0.0,2
7,post,0.2,0,0.0,2
