,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,2,0.012884,0.012884,0.005686,0.008863,0.010874,0.014894,0.016904,-0.0
post,2,0.017059,0.017059,0.007245,0.011936,0.014497,0.019621,0.022182,-0.0
pre,2,0.014854,0.014854,0.000718,0.014346,0.0146,0.015108,0.015361,0.0
