,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.10104,0.10104,,0.10104,0.10104,0.10104,0.10104,
post,1,0.057516,0.057516,,0.057516,0.057516,0.057516,0.057516,
pre,1,0.115279,0.115279,,0.115279,0.115279,0.115279,0.115279,
