,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.269325,0.347593,0.147966,0.098663,0.223128,0.354656,0.361719,-0.699863
post,1,0.201266,0.201266,,0.201266,0.201266,0.201266,0.201266,
pre,1,0.308848,0.308848,,0.308848,0.308848,0.308848,0.308848,
