,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.080443,0.03885,0.104232,0.003428,0.021139,0.11895,0.199049,0.616347
post,1,0.244924,0.244924,,0.244924,0.244924,0.244924,0.244924,
pre,1,0.231678,0.231678,,0.231678,0.231678,0.231678,0.231678,
