Group,N,P10,P25,P50,P75,P90,P95,P99
in,81,0.1553,0.218,0.3686,0.7512,1.6764,3.9256,6.3936
post,97,0.1619,0.2286,0.4692,1.1393,2.2344,2.99,9.5098
pre,49,0.1649,0.1914,0.3158,0.7632,1.9954,2.8218,4.1849
