,Group,Category,N,%,N total
0,in,Increasing,80,87.0,92
1,in,Stable,5,5.4,92
2,in,Decreasing,7,7.6,92
3,post,Increasing,75,78.9,95
4,post,Stable,8,8.4,95
5,post,Decreasing,12,12.6,95
6,pre,Increasing,50,68.5,73
7,pre,Stable,7,9.6,73
8,pre,Decreasing,16,21.9,73
