,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.134302,0.156702,0.101238,0.023741,0.090221,0.189583,0.222464,-0.386584
post,5,0.143173,0.133394,0.086816,0.019689,0.119565,0.19044,0.252774,-0.202813
pre,3,0.139515,0.195313,0.09951,0.024627,0.10997,0.196959,0.198605,-0.706236
