Group,N,P10,P25,P50,P75,P90,P95,P99
in,18,0.3744,0.5138,0.6364,0.8013,0.9546,1.1128,1.4331
post,21,0.4342,0.5085,0.8224,1.0514,1.2731,1.5457,1.606
pre,9,0.3824,0.4734,0.4881,0.8908,0.9454,0.9674,0.985
