,Group,Threshold ratio,N above,% above,N total
0,in,0.01,239,83.0,288
1,in,0.05,0,0.0,288
2,in,0.1,0,0.0,288
3,in,0.2,0,0.0,288
4,post,0.01,304,81.1,375
5,post,0.05,0,0.0,375
6,post,0.1,0,0.0,375
7,post,0.2,0,0.0,375
8,pre,0.01,176,85.0,207
9,pre,0.05,0,0.0,207
10,pre,0.1,0,0.0,207
11,pre,0.2,0,0.0,207
