Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.7056,0.7056,0.7056,0.7056,0.7056,0.7056,0.7056
post,1,0.9732,0.9732,0.9732,0.9732,0.9732,0.9732,0.9732
pre,1,0.7692,0.7692,0.7692,0.7692,0.7692,0.7692,0.7692
