,Group,Category,N,%,N total
0,in,Increasing,52,49.5,105
1,in,Stable,27,25.7,105
2,in,Decreasing,26,24.8,105
3,post,Increasing,67,63.2,106
4,post,Stable,20,18.9,106
5,post,Decreasing,19,17.9,106
6,pre,Increasing,28,36.4,77
7,pre,Stable,31,40.3,77
8,pre,Decreasing,18,23.4,77
