,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,288,0.044271,0.011126,0.106764,0.0,0.000454,0.040585,1.104609,5.530371
post,375,0.042247,0.007506,0.102632,0.0,0.000208,0.031949,0.864726,4.640307
pre,207,0.0445,0.011824,0.091596,0.0,0.000536,0.043778,0.642051,3.882114
