,Group,Category,N,%,N total
0,in,Increasing,10,58.8,17
1,in,Stable,2,11.8,17
2,in,Decreasing,5,29.4,17
3,post,Increasing,14,77.8,18
4,post,Stable,3,16.7,18
5,post,Decreasing,1,5.6,18
6,pre,Increasing,8,66.7,12
7,pre,Stable,2,16.7,12
8,pre,Decreasing,2,16.7,12
