,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.592515,0.592515,,0.592515,0.592515,0.592515,0.592515,
post,1,0.648791,0.648791,,0.648791,0.648791,0.648791,0.648791,
pre,1,0.631214,0.631214,,0.631214,0.631214,0.631214,0.631214,
