,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.232559,0.218034,0.154907,0.085426,0.15173,0.306125,0.394216,0.17074
post,3,0.243986,0.269743,0.148013,0.084785,0.177264,0.323587,0.37743,-0.31001
pre,3,0.236847,0.114619,0.216844,0.108708,0.111664,0.300917,0.487214,0.706516
