Group,N,P10,P25,P50,P75,P90,P95,P99
in,317,0.0788,0.1021,0.1558,0.4051,1.2706,2.9759,41.7785
post,396,0.0714,0.0917,0.1402,0.2793,0.7423,1.205,10.8291
pre,251,0.0821,0.1059,0.1532,0.2727,0.7287,1.3338,11.5417
