,Group,Threshold ratio,N above,% above,N total
0,in,0.01,188,90.4,208
1,in,0.05,0,0.0,208
2,in,0.1,0,0.0,208
3,in,0.2,0,0.0,208
4,post,0.01,220,90.2,244
5,post,0.05,0,0.0,244
6,post,0.1,0,0.0,244
7,post,0.2,0,0.0,244
8,pre,0.01,136,93.8,145
9,pre,0.05,0,0.0,145
10,pre,0.1,0,0.0,145
11,pre,0.2,0,0.0,145
