,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,7,7e-06,1e-06,1.7e-05,-1e-06,-0.0,2e-06,4.5e-05,2.018695
post,9,4e-06,-1e-06,2.2e-05,-2.2e-05,-7e-06,4e-06,5.1e-05,1.121692
pre,5,5e-06,5e-06,4e-06,-0.0,1e-06,8e-06,8e-06,-0.216437
