Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.4301,0.4368,0.0,0.4969,41.7,37.5,20.8,0.8493,0.0199,25.5225
post,0.3938,0.4044,0.0,0.4151,37.3,35.7,26.9,0.8843,0.0201,26.8913
pre,0.426,0.4231,0.0,0.5055,30.4,46.4,23.2,0.8764,0.0209,22.5661
