Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.2292,0.3398,0.5242,0.7508,0.8868,0.9321,0.9684
post,3,0.5213,0.6205,0.7859,0.8011,0.8103,0.8133,0.8157
pre,2,0.5646,0.6103,0.6865,0.7627,0.8084,0.8236,0.8358
