,Group,Category,N,%,N total
0,in,Increasing,11,27.5,40
1,in,Stable,10,25.0,40
2,in,Decreasing,19,47.5,40
3,post,Increasing,18,36.7,49
4,post,Stable,11,22.4,49
5,post,Decreasing,20,40.8,49
6,pre,Increasing,6,22.2,27
7,pre,Stable,11,40.7,27
8,pre,Decreasing,10,37.0,27
