,Group,Threshold ratio,N above,% above,N total
0,in,0.01,12380,97.4,12709
1,in,0.05,0,0.0,12709
2,in,0.1,0,0.0,12709
3,in,0.2,0,0.0,12709
4,post,0.01,13933,97.2,14327
5,post,0.05,0,0.0,14327
6,post,0.1,0,0.0,14327
7,post,0.2,0,0.0,14327
8,pre,0.01,9569,98.2,9742
9,pre,0.05,0,0.0,9742
10,pre,0.1,0,0.0,9742
11,pre,0.2,0,0.0,9742
