Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.5742,1.2761,2.4461,3.2905,3.7972,3.9661,4.1012
post,4,0.702,1.5969,3.1083,5.0217,6.6404,7.18,7.6116
pre,2,0.811,1.0223,1.3745,1.7268,1.9381,2.0085,2.0649
