Group,N,P10,P25,P50,P75,P90,P95,P99
in,24,0.1665,0.3393,0.6197,1.1127,1.8314,2.0057,5.1639
post,33,0.3429,0.5204,0.9845,2.1656,3.262,6.1107,11.5192
pre,15,0.3565,0.5313,0.6995,1.1646,3.1653,4.5405,5.4008
