Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702,1.9702
post,2,1.1957,1.3624,1.6402,1.918,2.0846,2.1402,2.1847
pre,1,1.343,1.343,1.343,1.343,1.343,1.343,1.343
