Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6112,0.7738,1e-05,0.3533,75.0,25.0,0,0.4588,0.0286,21.3565
post,0.6106,0.7043,0.0,0.2097,40.0,60.0,0,0.3557,0.0199,95.2196
pre,0.6849,0.7654,0.0,0.2519,33.3,66.7,0,0.461,0.0215,25.5614
