,Group,Category,N,%,N total
0,in,Increasing,0,0.0,3
1,in,Stable,2,66.7,3
2,in,Decreasing,1,33.3,3
3,post,Increasing,0,0.0,4
4,post,Stable,1,25.0,4
5,post,Decreasing,3,75.0,4
6,pre,Increasing,0,0.0,2
7,pre,Stable,1,50.0,2
8,pre,Decreasing,1,50.0,2
