,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.087528,0.087528,,0.087528,0.087528,0.087528,0.087528,
post,1,0.09418,0.09418,,0.09418,0.09418,0.09418,0.09418,
pre,1,0.048913,0.048913,,0.048913,0.048913,0.048913,0.048913,
