,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,18,0.471082,0.327064,0.269485,0.172784,0.268553,0.715824,0.984165,0.622284
post,20,0.578449,0.409221,0.643251,0.141368,0.232446,0.62742,3.076183,3.103842
pre,14,0.520482,0.611812,0.235055,0.220377,0.298857,0.668581,0.98122,0.164698
