,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.030732,0.029514,0.003023,0.028509,0.029011,0.031844,0.034174,0.620169
post,3,0.029088,0.029614,0.002298,0.026574,0.028094,0.030346,0.031078,-0.39819
pre,1,0.027779,0.027779,,0.027779,0.027779,0.027779,0.027779,
