Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.3531,0.3062,0.0,0.375,24.0,36.0,40.0,0.4061,0.017,47.0916
post,0.3286,0.345,0.0,0.2501,28.1,37.5,34.4,0.3525,0.0175,30.0215
pre,0.3625,0.2966,0.0,0.6207,30.0,50.0,20.0,0.8758,0.0179,48.1859
