,Group,Category,N,%,N total
0,in,Increasing,4,80.0,5
1,in,Stable,0,0.0,5
2,in,Decreasing,1,20.0,5
3,post,Increasing,5,71.4,7
4,post,Stable,0,0.0,7
5,post,Decreasing,2,28.6,7
6,pre,Increasing,3,75.0,4
7,pre,Stable,0,0.0,4
8,pre,Decreasing,1,25.0,4
