,Group,Category,N,%,N total
0,in,Increasing,13,59.1,22
1,in,Stable,3,13.6,22
2,in,Decreasing,6,27.3,22
3,post,Increasing,10,37.0,27
4,post,Stable,4,14.8,27
5,post,Decreasing,13,48.1,27
6,pre,Increasing,3,18.8,16
7,pre,Stable,8,50.0,16
8,pre,Decreasing,5,31.2,16
