,Group,Category,N,%,N total
0,in,Increasing,2,50.0,4
1,in,Stable,2,50.0,4
2,in,Decreasing,0,0.0,4
3,post,Increasing,4,80.0,5
4,post,Stable,1,20.0,5
5,post,Decreasing,0,0.0,5
6,pre,Increasing,1,33.3,3
7,pre,Stable,1,33.3,3
8,pre,Decreasing,1,33.3,3
