Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.9878,0.9721,7e-06,0.2282,69.6,12.7,17.7,0.1558,0.0235,33.2946
post,0.9901,0.9782,8e-06,0.2202,70.0,13.9,16.1,0.1402,0.0221,37.6157
pre,0.9854,0.9729,-0.0,0.25,38.7,19.8,41.5,0.1532,0.0234,30.3818
