,Group,Category,N,%,N total
0,in,Increasing,38,73.1,52
1,in,Stable,9,17.3,52
2,in,Decreasing,5,9.6,52
3,post,Increasing,45,75.0,60
4,post,Stable,7,11.7,60
5,post,Decreasing,8,13.3,60
6,pre,Increasing,24,57.1,42
7,pre,Stable,7,16.7,42
8,pre,Decreasing,11,26.2,42
