,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,16,2.7e-05,1.4e-05,4.6e-05,-3.4e-05,-1e-06,2.8e-05,0.000125,1.123015
post,22,3.3e-05,1.9e-05,5.1e-05,-5.5e-05,7e-06,3.8e-05,0.000157,1.354923
pre,11,1.1e-05,8e-06,1.8e-05,-1.5e-05,-1e-06,2.1e-05,4.6e-05,0.575211
