Group,N,P10,P25,P50,P75,P90,P95,P99
in,22,0.2966,0.3844,0.5645,1.0218,2.2253,3.5208,4.0197
post,27,0.2981,0.4326,0.6696,1.0872,2.8213,4.6692,6.7753
pre,16,0.2988,0.4662,0.6679,0.7993,1.6123,2.2078,3.2327
