Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6967,0.7664,2e-06,0.3314,50.0,50.0,0.0,0.6516,0.0265,25.6968
post,0.6142,0.6901,3e-06,0.2385,80.0,20.0,0.0,0.6212,0.0283,24.4045
pre,0.7442,0.8624,-1e-06,0.2836,33.3,33.3,33.3,0.7066,0.0271,26.3046
