,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.032947,0.030639,0.008352,0.025992,0.028316,0.036425,0.042211,0.468958
post,1,0.040263,0.040263,,0.040263,0.040263,0.040263,0.040263,
pre,1,0.041715,0.041715,,0.041715,0.041715,0.041715,0.041715,
