,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,18,0.284615,0.137515,0.314531,0.014525,0.070377,0.394037,1.22759,1.643522
post,21,0.223914,0.068766,0.378471,0.018196,0.043263,0.226035,1.560969,2.578575
pre,9,0.283215,0.124974,0.528428,0.022277,0.07984,0.13125,1.68562,2.429652
