,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,4,0.780417,0.880417,0.533996,0.076709,0.523491,1.137344,1.284126,-0.487148
post,3,0.557079,0.791522,0.414802,0.078143,0.434832,0.796547,0.801573,-0.70664
pre,4,0.929507,0.612767,1.019469,0.090085,0.371821,1.170453,2.402408,0.907894
