,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,18,1.8e-05,6e-06,3e-05,-4e-06,2e-06,2e-05,0.000117,2.339368
post,20,2.8e-05,9e-06,4.3e-05,-1e-06,2e-06,3.4e-05,0.000175,2.186415
pre,14,-1e-06,0.0,8e-06,-1.9e-05,-3e-06,1e-06,1.9e-05,0.241242
