Group,N,P10,P25,P50,P75,P90,P95,P99
in,99,0.1714,0.3066,0.5202,0.9438,1.8244,3.2824,13.3768
post,103,0.239,0.4494,0.7196,1.4731,5.0225,11.8344,25.6113
pre,75,0.1716,0.3528,0.6079,0.9856,1.5185,1.9947,17.849
