Group,N,P10,P25,P50,P75,P90,P95,P99
in,32,0.2523,0.3971,0.5466,1.2471,1.5452,1.6524,13.5893
post,42,0.2109,0.3986,0.5913,1.5109,2.4291,4.7716,20.4904
pre,25,0.2639,0.4685,0.683,1.1586,1.7312,1.8256,2.5693
