Group,N,P10,P25,P50,P75,P90,P95,P99
in,18,0.2753,0.3421,0.5589,0.9766,1.979,2.0802,2.1062
post,20,0.2644,0.3212,0.5996,0.9126,1.2053,2.184,4.0638
pre,14,0.2008,0.4323,0.9325,1.8106,2.1407,2.372,2.7036
