Group,N,P10,P25,P50,P75,P90,P95,P99
in,25,0.3151,0.4527,0.5347,0.6736,1.8714,2.5166,3.0148
post,29,0.3491,0.4128,0.5054,0.7659,2.9781,3.7128,4.5325
pre,17,0.2633,0.3613,0.4287,0.5895,2.1937,2.7263,3.1207
