Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.5856,0.512,1e-06,0.477,50.0,22.2,27.8,0.5453,0.0187,16.3293
post,0.6113,0.7015,0.0,0.553,37.5,25.0,37.5,0.4572,0.0202,16.5464
pre,0.6471,0.5729,3e-06,0.5558,55.6,22.2,22.2,0.5956,0.0212,21.4736
