,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,2,0.02161,0.02161,0.005104,0.018001,0.019805,0.023415,0.025219,0.0
post,2,0.021,0.021,0.002627,0.019142,0.020071,0.021929,0.022858,-0.0
pre,1,0.020896,0.020896,,0.020896,0.020896,0.020896,0.020896,
