,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,2.2e-05,2.2e-05,,2.2e-05,2.2e-05,2.2e-05,2.2e-05,
post,2,6e-06,6e-06,6e-06,2e-06,4e-06,8e-06,1e-05,0.0
