Group,N,P10,P25,P50,P75,P90,P95,P99
in,7,0.2148,0.2681,0.3825,0.6604,0.8924,0.9495,0.9952
post,7,0.1707,0.2247,0.2652,0.5038,0.9596,1.2388,1.4621
pre,6,0.2437,0.2676,0.4511,0.6335,0.9663,1.1219,1.2465
