date,actual,N-BEATS v2 (covariate-conditioned),residual,z_residual,period,zscore_flag,iforest_flag,lof_flag,ocsvm_flag,kmeans_flag,ensemble_votes,ensemble_flag
2021-08-16,0.2963959001496685,0.29935533,-0.0029594298503314853,-0.36122424799672187,post-COVID,0,0,0,0,0,0,0
2021-08-17,0.2961581141757536,0.30400038,-0.007842265824246408,-1.182678153976896,post-COVID,0,0,0,0,0,0,0
2021-08-18,0.2948153463758819,0.30114147,-0.006326123624118107,-0.9539595487739282,post-COVID,0,0,0,0,0,0,0
2021-08-19,0.2977824192858669,0.30182025,-0.004037830714133106,-0.6858719522986201,post-COVID,0,0,0,0,0,0,0
2021-08-20,0.2958691736155655,0.2999562,-0.004087026384434533,-0.6615027329136567,post-COVID,0,0,0,0,0,0,0
2021-08-21,0.2920423615565533,0.28355533,0.008487031556553282,1.1796958698972824,post-COVID,0,0,0,0,0,0,0
2021-08-22,0.2777653944836433,0.27881458,-0.0010491855163566877,-0.12157794619697093,post-COVID,0,0,0,0,0,0,0
2021-08-23,0.3035843756681633,0.29140604,0.012178335668163343,1.117274836787654,post-COVID,0,0,0,0,0,0,0
2021-08-24,0.3084424844986101,0.30813432,0.0003081644986100973,-0.15433292820539188,post-COVID,0,0,0,0,0,0,0
2021-08-25,0.3086804842847979,0.3086596,2.0884284797906272e-05,-0.17681787458073006,post-COVID,0,0,0,0,0,0,0
2021-08-26,0.3099354821466751,0.31020626,-0.00027077785332491056,-0.22439779895353087,post-COVID,0,0,0,0,0,0,0
2021-08-27,0.3090100491768227,0.30859315,0.00041689917682269373,-0.08890446993737475,post-COVID,0,0,0,0,0,0,0
2021-08-28,0.2894002298481932,0.29412225,-0.004722020151806783,-0.5615405690774448,post-COVID,0,0,0,0,0,0,0
2021-08-29,0.2735548963010476,0.28328216,-0.009727263698952382,-1.0439691921910914,post-COVID,0,0,0,0,0,0,0
2021-08-30,0.3045213545007483,0.29460758,0.009913774500748318,0.8516943887372569,post-COVID,0,0,0,0,0,0,0
2021-08-31,0.3133809065640367,0.31148824,0.0018926665640366935,0.09273821025856988,post-COVID,0,0,0,0,0,0,0
2021-09-01,0.3303943767372247,0.31572223,0.014672146737224723,1.3402341806350104,post-COVID,0,0,0,0,1,1,0
2021-09-02,0.3370171584348941,0.32972115,0.007296008434894086,0.6061841079439685,post-COVID,0,0,0,0,0,0,0
2021-09-03,0.3278247808424203,0.33236066,-0.004535879157579692,-0.537309176107944,post-COVID,0,0,0,0,0,0,0
2021-09-04,0.3014563822963438,0.3129733,-0.011516917703656204,-1.237546742479171,post-COVID,0,0,0,0,0,0,0
2021-09-05,0.2921536508445584,0.29416424,-0.002010589155441611,-0.3459702146469896,post-COVID,0,0,0,0,0,0,0
2021-09-06,0.3430039822535813,0.31098637,0.032017612253581296,2.8726508617365725,post-COVID,0,0,0,0,1,1,0
2021-09-07,0.3607747220440453,0.34666237,0.014112352044045318,1.198537234984046,post-COVID,0,0,0,0,1,1,0
2021-09-08,0.3526678159076331,0.35325378,-0.0005859640923669418,-0.11055877766504431,post-COVID,0,0,0,0,0,0,0
2021-09-09,0.35526817404319,0.35031486,0.004953314043189994,0.40361321439152376,post-COVID,0,0,0,0,0,0,0
2021-09-10,0.3388206115031003,0.35198283,-0.013162218496899747,-1.2842325443656422,post-COVID,0,0,0,0,0,0,0
2021-09-11,0.31016909878127,0.32130986,-0.011140761218729978,-1.1127345801706903,post-COVID,0,0,0,0,0,0,0
2021-09-12,0.2995641971349155,0.30709538,-0.007531182865084474,-0.7475840501001367,post-COVID,0,0,0,0,0,0,0
2021-09-13,0.3485570878768441,0.32921216,0.01934492787684411,1.6623223226843387,post-COVID,0,0,0,0,1,1,0
2021-09-14,0.3497165116527688,0.3553005,-0.005583988347231228,-0.5997644185395553,post-COVID,0,0,0,0,0,0,0
2021-09-15,0.3537683344023946,0.35235414,0.0014141944023945974,0.07311735831701777,post-COVID,0,0,0,0,0,0,0
2021-09-16,0.3519558210391276,0.3565244,-0.004568578960872427,-0.4540315118422349,post-COVID,0,0,0,0,0,0,0
2021-09-17,0.3345898813341885,0.34741926,-0.01282937866581152,-1.1987195656139669,post-COVID,0,0,0,0,0,0,0
2021-09-18,0.3249669927303826,0.30662456,0.018342432730382607,1.7530852943742734,post-COVID,0,0,0,0,1,1,0
2021-09-19,0.3091567243959803,0.31425574,-0.005099015604019708,-0.5135400691894155,post-COVID,0,0,0,0,0,0,0
2021-09-20,0.3391656243318366,0.3397086,-0.0005429756681634146,-0.09313677853181969,post-COVID,0,0,0,0,0,0,0
2021-09-21,0.339051368398546,0.3493816,-0.01033023160145402,-0.9174212423635113,post-COVID,0,0,0,0,0,0,0
2021-09-22,0.3381431205901218,0.34085003,-0.002706909409878222,-0.2237434414147715,post-COVID,0,0,0,0,0,0,0
2021-09-23,0.3408558905281162,0.339117,0.0017388905281162104,0.13747949413649252,post-COVID,0,0,0,0,0,0,0
2021-09-24,0.3371337663031858,0.33929524,-0.0021614736968141868,-0.18545003754252676,post-COVID,0,0,0,0,0,0,0
2021-09-25,0.3203668216805644,0.31154203,0.008824791680564381,0.7194832287564912,post-COVID,0,0,0,0,0,0,0
2021-09-26,0.303496391917896,0.31077257,-0.007276178082104012,-0.5232527579675087,post-COVID,0,0,0,0,0,0,0
2021-09-27,0.3464094772289929,0.3366134,0.009796077228992894,0.7956960090761602,post-COVID,0,0,0,0,0,0,0
2021-09-28,0.3432568687192644,0.35482132,-0.011564451280735577,-0.8292823521872236,post-COVID,0,0,0,0,0,0,0
2021-09-29,0.3441411161000641,0.3469581,-0.0028169838999358987,-0.17394418583319585,post-COVID,0,0,0,0,0,0,0
2021-09-30,0.3436482788112037,0.34788045,-0.004232171188796319,-0.3189193024627084,post-COVID,0,0,0,0,0,0,0
2021-10-01,0.3376225678853966,0.33785525,-0.00023268211460342192,-0.007575797908961446,post-COVID,0,0,0,0,0,0,0
2021-10-02,0.3174690239469745,0.31327838,0.004190643946974493,0.31885066140202367,post-COVID,0,0,0,0,0,0,0
2021-10-03,0.3325949059225999,0.31141222,0.021182685922599864,1.5577074998818676,post-COVID,0,0,0,1,1,2,0
2021-10-04,0.3450843355783621,0.3610047,-0.01592036442163791,-1.1720477213893166,post-COVID,0,0,0,0,0,0,0
2021-10-05,0.3555735380585845,0.3178483,0.03772523805858452,2.918155385917281,post-COVID,0,0,0,1,1,2,0
2021-10-06,0.3456416639940132,0.3657529,-0.0201112360059868,-1.4906250956993765,post-COVID,0,0,0,0,0,0,0
2021-10-07,0.3516161000641437,0.34007534,0.011540760064143674,0.8941543664791258,post-COVID,0,0,0,0,0,0,0
2021-10-08,0.3463760289715629,0.34289604,0.003479988971562875,0.2693556865891244,post-COVID,0,0,0,0,0,0,0
2021-10-09,0.3179892158434894,0.3228952,-0.004905984156510612,-0.3486655552003084,post-COVID,0,0,0,0,0,0,0
2021-10-10,0.2952867757109257,0.31809056,-0.022803784289074314,-1.6744816415686008,post-COVID,0,0,0,0,0,0,0
2021-10-11,0.3148336807782766,0.32983747,-0.015003789221723407,-1.0845914072329519,post-COVID,0,0,0,0,0,0,0
2021-10-12,0.3185419873850759,0.32778475,-0.009242762614924127,-0.6621638447920967,post-COVID,0,0,0,0,0,0,0
2021-10-13,0.3490589720974983,0.32340166,0.02565731209749833,1.998206688125238,post-COVID,0,0,0,0,1,1,0
2021-10-14,0.3633388790891597,0.3511433,0.012195579089159692,0.9807216067389273,post-COVID,0,0,0,0,1,1,0
2021-10-15,0.3473936684840709,0.35358435,-0.006190681515929108,-0.400876967839886,post-COVID,0,0,0,0,0,0,0
