Municipality,Model,MAE,RMSE,MAPE(%),sMAPE(%)
Vitoria-Gasteiz,Naive,0.09861540135522669,0.1149422638577838,31.29701305063439,38.68745463780541
Vitoria-Gasteiz,Seasonal Naive (365d),0.03441170615486728,0.045032775491820325,12.30259934363129,11.785853207301338
Vitoria-Gasteiz,Rolling Mean (7d),0.10449182231228692,0.12048697510543892,33.31345633795094,41.64634969341737
Vitoria-Gasteiz,SARIMA,0.22139728584399218,0.23920344457259968,74.85127537893793,132.38267218852423
Vitoria-Gasteiz,Ridge (calendar only),0.04924729800867283,0.05959227679787546,15.752620087829783,17.425661787623774
Vitoria-Gasteiz,Random Forest (calendar only),0.05009275533693934,0.059858053810284674,16.20068422594897,18.01552445639567
Vitoria-Gasteiz,LSTM v2 (no history),0.0185384495147886,0.024713864919964666,6.3396042882776475,6.3504139163963
Vitoria-Gasteiz,N-BEATS v2 (no history),0.015000724323227755,0.02062280738809476,5.10830003149625,5.122136528649438
Vitoria-Gasteiz,Hybrid v2 (no history),0.0440230904134375,0.05325033983240241,16.389146692633673,14.822469038769018
Donostia/San Sebastian,Naive,0.07510921612562184,0.09494561025769928,18.15245989111257,20.866159829963994
Donostia/San Sebastian,Seasonal Naive (365d),0.03986186875762699,0.05225442543214417,10.649460955254895,10.290499421779474
Donostia/San Sebastian,Rolling Mean (7d),0.07477308370231077,0.09463950572783573,18.06526038796355,20.757244462152897
Donostia/San Sebastian,SARIMA,0.07989392390380068,0.09759153276172328,19.633360862343338,22.61564878836027
Donostia/San Sebastian,Ridge (calendar only),0.06735416040306835,0.07747007097335247,17.03777473930059,18.9903207689746
Donostia/San Sebastian,Random Forest (calendar only),0.0741545472091434,0.08153543322775995,19.397745881280688,21.826075982932196
Donostia/San Sebastian,LSTM v2 (no history),0.01352307002430189,0.019017334895673768,3.449306362385725,3.4945346864949665
Donostia/San Sebastian,N-BEATS v2 (no history),0.014821166879042714,0.019678297398261636,3.8475215427982405,3.845058529184158
Donostia/San Sebastian,Hybrid v2 (no history),0.0457362505656137,0.05684024377412535,12.633225919032427,11.752993741371693
Pamplona/Iruna,Naive,0.06370607962717666,0.08200289182592102,16.478045639702295,18.739914565999204
Pamplona/Iruna,Seasonal Naive (365d),0.033778852814435156,0.047294562065638236,9.250158975892129,9.715094105713163
Pamplona/Iruna,Rolling Mean (7d),0.08175351278129286,0.0985368080763888,21.50649869893109,25.078651563046378
Pamplona/Iruna,SARIMA,0.10221970489837125,0.11555528084492939,27.687874354787528,33.12266510417462
Pamplona/Iruna,Ridge (calendar only),0.03956125107578105,0.04879216455443304,10.926036168143288,11.795657255309473
Pamplona/Iruna,Random Forest (calendar only),0.0417238140525495,0.05007703844400272,11.718054080182345,12.66981902862138
Pamplona/Iruna,LSTM v2 (no history),0.0173261843156814,0.022483123627147134,4.924958703679528,4.95272321567281
Pamplona/Iruna,N-BEATS v2 (no history),0.017237740975362577,0.022951678748157265,4.810423240485625,4.782632357404603
Pamplona/Iruna,Hybrid v2 (no history),0.034623946922943356,0.0451510503042575,9.652229209368405,10.05136415131423
