Model,MAE,RMSE,MAPE(%),sMAPE(%)
Naive,0.07510921612562184,0.09494561025769928,18.15245989111257,20.866159829963994
Seasonal Naive (365d),0.03986186875762699,0.05225442543214417,10.649460955254895,10.290499421779474
Rolling Mean (7d),0.07477308370231077,0.09463950572783573,18.06526038796355,20.757244462152897
SARIMA,0.07989392390380068,0.09759153276172328,19.633360862343338,22.61564878836027
Ridge (calendar only),0.06735416040306835,0.07747007097335247,17.03777473930059,18.9903207689746
Random Forest (calendar only),0.0741545472091434,0.08153543322775995,19.397745881280688,21.826075982932196
LSTM v2 (no history),0.01352307002430189,0.019017334895673768,3.449306362385725,3.4945346864949665
N-BEATS v2 (no history),0.014821166879042714,0.019678297398261636,3.8475215427982405,3.845058529184158
Hybrid v2 (no history),0.0457362505656137,0.05684024377412535,12.633225919032427,11.752993741371693
