municipality,Best model,Best RMSE,Best baseline,Baseline RMSE,Improvement vs baseline (%)
Vitoria-Gasteiz,Random Forest Features,0.0017729383164147914,Seasonal Naive (365d),0.045032775491820325,96.06300456267275
Donostia/San Sebastian,Random Forest Features,0.000443374383899298,Seasonal Naive (365d),0.05234064293633352,99.15290611840857
Pamplona/Iruna,Random Forest Features,0.0005358692089297892,Seasonal Naive (365d),0.047294562065638236,98.86695386208233
