seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
87,Vitoria-Gasteiz,N-BEATS v2,0.014247453322183095,0.01964091172754051,4.9251646925616335,5.8
87,Vitoria-Gasteiz,LSTM v2,0.024562143672094153,0.03145335120506457,8.233567061352643,10.8
87,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
87,Vitoria-Gasteiz,Random Forest,0.015278851191857344,0.021449842916072773,5.356282826639483,0.3
87,Donostia/San Sebastian,N-BEATS v2,0.014019763117197128,0.01910790679005374,3.5865937458502692,4.9
87,Donostia/San Sebastian,LSTM v2,0.021449912828393394,0.029366749381455646,5.345079160091368,5.5
87,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
87,Donostia/San Sebastian,Random Forest,0.012845456195128968,0.019046837092537836,3.267986689810426,0.3
87,Pamplona/Iruna,N-BEATS v2,0.01692801839752118,0.022538147463949856,4.773628565588864,2.7
87,Pamplona/Iruna,LSTM v2,0.020699976372835622,0.02670729678947171,5.803366430046061,6.2
87,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
87,Pamplona/Iruna,Random Forest,0.016499772388963004,0.022730262810214508,4.671509732343577,0.3
