seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
46,Vitoria-Gasteiz,N-BEATS v2,0.014970170523998173,0.02035455922649862,5.145644382287238,3.0
46,Vitoria-Gasteiz,LSTM v2,0.02401259002310788,0.03031373496033724,8.267179597573623,8.6
46,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
46,Vitoria-Gasteiz,Random Forest,0.015408130532478973,0.02141976456050098,5.40260006435105,0.3
46,Donostia/San Sebastian,N-BEATS v2,0.014291471650562167,0.019029333983457807,3.6866421752578065,4.7
46,Donostia/San Sebastian,LSTM v2,0.020183176854130975,0.026980189374324115,5.140253471450719,10.9
46,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
46,Donostia/San Sebastian,Random Forest,0.01278669416360225,0.01894258460382218,3.264721744361756,0.3
46,Pamplona/Iruna,N-BEATS v2,0.017035213311680654,0.022705550778160485,4.7808817141392215,3.9
46,Pamplona/Iruna,LSTM v2,0.02144861435840517,0.027796984049423868,6.0046192132300895,4.8
46,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
46,Pamplona/Iruna,Random Forest,0.01639003357445355,0.02264279213940012,4.640804714114668,0.3
