seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
49,Vitoria-Gasteiz,N-BEATS v2,0.016565842772516555,0.0217039066706401,5.7906264754857535,2.5
49,Vitoria-Gasteiz,LSTM v2,0.02486947202221214,0.031560311368204634,8.377916730055395,8.5
49,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
49,Vitoria-Gasteiz,Random Forest,0.015543663527444686,0.021620367907954182,5.447341755745113,0.4
49,Donostia/San Sebastian,N-BEATS v2,0.014557468868212962,0.01932934281303674,3.7727705646332885,4.6
49,Donostia/San Sebastian,LSTM v2,0.02118488748330082,0.0275965669627161,5.466727644699584,5.8
49,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
49,Donostia/San Sebastian,Random Forest,0.012856762506629519,0.01900286444220239,3.2749397443888455,0.3
49,Pamplona/Iruna,N-BEATS v2,0.018349751549701,0.02420690214027715,5.182156839470698,3.3
49,Pamplona/Iruna,LSTM v2,0.02090961324677254,0.027117489413344954,5.8802715472757265,7.9
49,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
49,Pamplona/Iruna,Random Forest,0.016328983272696686,0.022643871951721867,4.630047808917639,0.3
