seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
9,Vitoria-Gasteiz,N-BEATS v2,0.014643149813132533,0.020207065146765294,5.036645447173607,6.0
9,Vitoria-Gasteiz,LSTM v2,0.024864055078579608,0.03184651529913887,8.369970846753374,14.9
9,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
9,Vitoria-Gasteiz,Random Forest,0.015526503304817871,0.021486764372878976,5.442995657271614,0.4
9,Donostia/San Sebastian,N-BEATS v2,0.01488115751260226,0.01979620048644813,3.8646574928435373,5.5
9,Donostia/San Sebastian,LSTM v2,0.0215211756025526,0.029118854511058986,5.418752576680448,14.0
9,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
9,Donostia/San Sebastian,Random Forest,0.012838562538001481,0.019001440651498506,3.271433499840274,0.4
9,Pamplona/Iruna,N-BEATS v2,0.017536558790158287,0.023662828497303553,4.890715346437458,7.2
9,Pamplona/Iruna,LSTM v2,0.021103325513535505,0.028130159967091024,5.866978661697299,13.2
9,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
9,Pamplona/Iruna,Random Forest,0.016337667725952826,0.022643180363319568,4.621917144286826,0.4
