seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
3,Vitoria-Gasteiz,N-BEATS v2,0.01564897292906631,0.021177601964046742,5.417398655131912,5.4
3,Vitoria-Gasteiz,LSTM v2,0.023547878157905405,0.030008297270999556,7.9544466779948575,14.0
3,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
3,Vitoria-Gasteiz,Random Forest,0.015508355735272986,0.021599501990147093,5.432412633520735,0.4
3,Donostia/San Sebastian,N-BEATS v2,0.01410924214831537,0.019316239755460127,3.6003891568437156,9.0
3,Donostia/San Sebastian,LSTM v2,0.020584186932019657,0.026934526320271067,5.388146021735333,20.7
3,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
3,Donostia/San Sebastian,Random Forest,0.012940042878299153,0.01900285485933675,3.2923499129204266,0.5
3,Pamplona/Iruna,N-BEATS v2,0.017319367029598333,0.023046837118113356,4.889683860514324,8.5
3,Pamplona/Iruna,LSTM v2,0.019928524177187427,0.025572616481274575,5.652347367607929,9.9
3,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
3,Pamplona/Iruna,Random Forest,0.016306469424287883,0.022587232015107213,4.631848183458987,0.4
