seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
53,Vitoria-Gasteiz,N-BEATS v2,0.014719221093196285,0.02012336621955133,5.067940803478322,3.0
53,Vitoria-Gasteiz,LSTM v2,0.025107783913825954,0.03179621089565513,8.45168275926164,8.4
53,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
53,Vitoria-Gasteiz,Random Forest,0.015399176381996975,0.021440743028052527,5.393510104551019,0.4
53,Donostia/San Sebastian,N-BEATS v2,0.014177976093777168,0.018707784457823454,3.6843754234367068,3.3
53,Donostia/San Sebastian,LSTM v2,0.02191956703845982,0.030619383586025263,5.421262792926617,6.6
53,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
53,Donostia/San Sebastian,Random Forest,0.012801382765569257,0.018974362574410257,3.2684543805433197,0.3
53,Pamplona/Iruna,N-BEATS v2,0.017094176003514875,0.02311741683537117,4.812164573768606,3.5
53,Pamplona/Iruna,LSTM v2,0.020848629376366935,0.026869470886079282,5.910584587753678,4.6
53,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
53,Pamplona/Iruna,Random Forest,0.016369256702001254,0.02285751236605822,4.637063655012081,0.3
